feature_name,importance
Column_0,0
Column_1,0
Column_2,0
Column_3,0
Column_4,0
Column_5,0
Column_6,0
Column_7,0
Column_8,0
Column_9,0
Column_10,20
Column_11,0
Column_12,0
Column_13,0
Column_14,0
Column_15,0
Column_16,0
Column_17,0
Column_18,0
Column_19,0
Column_20,15
Column_21,0
Column_22,0
Column_23,0
Column_24,0
Column_25,17
Column_26,0
Column_27,0
Column_28,0
Column_29,0
Column_30,0
Column_31,0
Column_32,0
Column_33,0
Column_34,0
Column_35,0
Column_36,3
Column_37,0
Column_38,0
Column_39,0
Column_40,0
Column_41,0
Column_42,0
Column_43,0
Column_44,0
Column_45,0
Column_46,0
Column_47,0
Column_48,0
Column_49,0
Column_50,0
Column_51,0
Column_52,0
Column_53,16
Column_54,0
Column_55,0
Column_56,0
Column_57,0
Column_58,0
Column_59,0
Column_60,0
Column_61,0
Column_62,0
Column_63,0
Column_64,0
Column_65,0
Column_66,0
Column_67,0
Column_68,0
Column_69,0
Column_70,8
Column_71,0
Column_72,0
Column_73,0
Column_74,0
Column_75,0
Column_76,0
Column_77,0
Column_78,5
Column_79,0
Column_80,2
Column_81,0
Column_82,7
Column_83,20
Column_84,0
Column_85,0
Column_86,0
Column_87,0
Column_88,0
Column_89,0
Column_90,1
Column_91,0
Column_92,1
Column_93,0
Column_94,0
Column_95,0
Column_96,0
Column_97,0
Column_98,0
Column_99,0
Column_100,0
Column_101,0
Column_102,0
Column_103,0
Column_104,0
Column_105,0
Column_106,8
Column_107,0
Column_108,0
Column_109,0
Column_110,33
Column_111,0
Column_112,0
Column_113,0
Column_114,0
Column_115,0
Column_116,0
Column_117,0
Column_118,0
Column_119,16
Column_120,0
Column_121,19
Column_122,0
Column_123,0
Column_124,0
Column_125,0
Column_126,5
Column_127,0
Column_128,0
Column_129,0
Column_130,0
Column_131,0
Column_132,0
Column_133,0
Column_134,0
Column_135,0
Column_136,0
Column_137,0
Column_138,0
Column_139,0
Column_140,0
Column_141,0
Column_142,0
Column_143,20
Column_144,0
Column_145,0
Column_146,0
Column_147,0
Column_148,0
Column_149,0
Column_150,0
Column_151,0
Column_152,0
Column_153,0
Column_154,0
Column_155,0
Column_156,0
Column_157,0
Column_158,0
Column_159,0
Column_160,1
Column_161,0
Column_162,0
Column_163,0
Column_164,0
Column_165,0
Column_166,0
Column_167,0
Column_168,0
Column_169,0
Column_170,9
Column_171,1
Column_172,0
Column_173,0
Column_174,11
Column_175,0
Column_176,0
Column_177,0
Column_178,0
Column_179,0
Column_180,0
Column_181,0
Column_182,0
Column_183,0
Column_184,0
Column_185,8
Column_186,0
Column_187,0
Column_188,0
Column_189,0
Column_190,1
Column_191,0
Column_192,0
Column_193,0
Column_194,0
Column_195,0
Column_196,0
Column_197,0
Column_198,0
Column_199,0
Column_200,0
Column_201,0
Column_202,0
Column_203,0
Column_204,0
Column_205,0
Column_206,0
Column_207,0
Column_208,0
Column_209,0
Column_210,0
Column_211,0
Column_212,1
Column_213,0
Column_214,0
Column_215,19
Column_216,8
Column_217,0
Column_218,0
Column_219,0
Column_220,0
Column_221,0
Column_222,0
Column_223,0
Column_224,0
Column_225,0
Column_226,0
Column_227,0
Column_228,0
Column_229,5
Column_230,0
Column_231,0
Column_232,0
Column_233,0
Column_234,0
Column_235,0
Column_236,0
Column_237,0
Column_238,0
Column_239,0
Column_240,0
Column_241,0
Column_242,0
Column_243,0
Column_244,0
Column_245,0
Column_246,0
Column_247,0
Column_248,0
Column_249,0
Column_250,0
Column_251,0
Column_252,0
Column_253,0
Column_254,0
Column_255,0
